name,career_url,ats_type,h1b_history_score,priority,is_active,notes
Sunnyside,sunnyside,greenhouse,40,low,1,delta-verified; 59 jobs
Sweetgreen,sweetgreen,greenhouse,40,low,1,delta-verified; 59 jobs
Woltisrael,woltisrael,greenhouse,40,low,1,delta-verified; 59 jobs
Theeconomistgroup,theeconomistgroup,greenhouse,40,low,1,delta-verified; 58 jobs
Wavemm1,wavemm1,greenhouse,40,low,1,delta-verified; 58 jobs
Cboe,cboe|wd1|external_career_cboe,workday,40,low,1,delta-verified; 58 jobs
Wsu,wsu|wd5|wsu_jobs,workday,40,low,1,delta-verified; 58 jobs
Vaxcyte,vaxcyte,greenhouse,40,low,1,delta-verified; 57 jobs
Winhomeinspection,winhomeinspection,greenhouse,40,low,1,delta-verified; 57 jobs
Chess,chess|wd1|cnmjobs,workday,40,low,1,delta-verified; 57 jobs
Cmcmarkets,cmcmarkets|wd3|cmc_markets_careers,workday,40,low,1,delta-verified; 57 jobs
Nus,nus|wd1|careers,workday,40,low,1,delta-verified; 57 jobs
Simedarby,simedarby|wd3|simemotorsaustraliacareersite,workday,40,low,1,delta-verified; 57 jobs
Zoetis,zoetis|wd5|zoetis_intl,workday,40,low,1,delta-verified; 57 jobs
Teads1,teads1,greenhouse,40,low,1,delta-verified; 56 jobs
Togetherai,togetherai,greenhouse,40,low,1,delta-verified; 56 jobs
Mgproperties,mgproperties,greenhouse,40,low,1,delta-verified; 55 jobs
Trace3,trace3,greenhouse,40,low,1,delta-verified; 55 jobs
Verve,verve,greenhouse,40,low,1,delta-verified; 55 jobs
Nextgen,nextgen|wd5|nextgen_careers,workday,40,low,1,delta-verified; 55 jobs
Lovable,lovable,greenhouse,40,low,1,delta-verified; 54 jobs
Torcrobotics,torcrobotics,greenhouse,40,low,1,delta-verified; 54 jobs
Traderepublicbank,traderepublicbank,greenhouse,40,low,1,delta-verified; 54 jobs
Vonage,vonage,greenhouse,40,low,1,delta-verified; 54 jobs
Creationtech,creationtech|wd1|creation,workday,40,low,1,delta-verified; 54 jobs
Tulip,tulip,greenhouse,40,low,1,delta-verified; 53 jobs
Unispace,unispace,greenhouse,40,low,1,delta-verified; 53 jobs
Yipitdatajobs,yipitdatajobs,greenhouse,40,low,1,delta-verified; 52 jobs
Alantra,alantra|wd3|alantra,workday,40,low,1,delta-verified; 52 jobs
Chess,chess|wd1|sjc,workday,40,low,1,delta-verified; 52 jobs
Dowjones,dowjones|wd1|new_york_post_careers,workday,40,low,1,delta-verified; 52 jobs
Nwtc,nwtc|wd1|nwtc1,workday,40,low,1,delta-verified; 52 jobs
Talkspacepsychiatry,talkspacepsychiatry,greenhouse,40,low,1,delta-verified; 51 jobs
Tenableinc,tenableinc,greenhouse,40,low,1,delta-verified; 51 jobs
Thoughtworksreferral,thoughtworksreferral,greenhouse,40,low,1,delta-verified; 51 jobs
Xometryeurope,xometryeurope,greenhouse,40,low,1,delta-verified; 51 jobs
Zyngacareers,zyngacareers,greenhouse,40,low,1,delta-verified; 51 jobs
Capri,capri|wd1|versace,workday,40,low,1,delta-verified; 51 jobs
Collaborative,collaborative|wd1|allopenings,workday,40,low,1,delta-verified; 51 jobs
Cytokinetics,cytokinetics|wd1|cytokinetics,workday,40,low,1,delta-verified; 51 jobs
Nwacc,nwacc|wd1|nwacc_external_career_site,workday,40,low,1,delta-verified; 51 jobs
Tekion,tekion,greenhouse,40,low,1,delta-verified; 50 jobs
Collaborative,collaborative|wd1|collaborative_solutions,workday,40,low,1,delta-verified; 50 jobs
Collegeboard,collegeboard|wd1|careers,workday,40,low,1,delta-verified; 50 jobs
Talkspacetherapist,talkspacetherapist,greenhouse,40,low,1,delta-verified; 49 jobs
Telnyx54,telnyx54,greenhouse,40,low,1,delta-verified; 49 jobs
Umusic,umusic|wd5|umguk,workday,40,low,1,delta-verified; 49 jobs
Telixus,telixus,greenhouse,40,low,1,delta-verified; 48 jobs
Cubic,cubic|wd1|cubic_usa_careers,workday,40,low,1,delta-verified; 48 jobs
Duboischemicals,duboischemicals|wd1|external,workday,40,low,1,delta-verified; 48 jobs
Wolseleyuk,wolseleyuk|wd3|wolseley,workday,40,low,1,delta-verified; 48 jobs
Tatari,tatari,greenhouse,40,low,1,delta-verified; 47 jobs
Temporaltechnologies,temporaltechnologies,greenhouse,40,low,1,delta-verified; 47 jobs
